PLAYER_ID,PLAYER_NAME_LAST_FIRST,PASS_TO,PASS_TEAMMATE_PLAYER_ID,PASS,AST
1628979,"Duval, Trevon","Brown, Sterling",1628425,2,0
1628979,"Duval, Trevon","Wilson, D.J.",1628391,7,0
1628979,"Duval, Trevon","Connaughton, Pat",1626192,1,1
1628979,"Duval, Trevon","Wood, Christian",1626174,3,0
1628979,"Duval, Trevon","Ilyasova, Ersan",101141,1,1
202697,"Shumpert, Iman","Chiozza, Chris",1629185,3,0
202697,"Shumpert, Iman","Hartenstein, Isaiah",1628392,2,0
202697,"Shumpert, Iman","House Jr., Danuel",1627863,17,1
202697,"Shumpert, Iman","Capela, Clint",203991,16,2
202697,"Shumpert, Iman","Jones, Terrence",203093,2,0
202697,"Shumpert, Iman","Rivers, Austin",203085,30,4
202697,"Shumpert, Iman","Faried, Kenneth",202702,16,4
202697,"Shumpert, Iman","Harden, James",201935,75,1
202697,"Shumpert, Iman","Gordon, Eric",201569,13,3
202697,"Shumpert, Iman","Tucker, P.J.",200782,25,3
202697,"Shumpert, Iman","Green, Gerald",101123,14,2
202697,"Shumpert, Iman","Paul, Chris",101108,61,1
202697,"Shumpert, Iman",Nene,2403,13,0
202697,"Shumpert, Iman","Bagley III, Marvin",1628963,42,5
202697,"Shumpert, Iman","Mason III, Frank",1628412,21,0
202697,"Shumpert, Iman","Giles III, Harry",1628385,25,0
202697,"Shumpert, Iman","Jackson, Justin",1628382,24,2
202697,"Shumpert, Iman","Fox, De'Aaron",1628368,348,14
202697,"Shumpert, Iman","Ferrell, Yogi",1627812,20,1
202697,"Shumpert, Iman","Williams, Troy",1627786,2,1
202697,"Shumpert, Iman","Labissiere, Skal",1627746,1,0
202697,"Shumpert, Iman","Hield, Buddy",1627741,174,30
202697,"Shumpert, Iman","Cauley-Stein, Willie",1626161,180,22
202697,"Shumpert, Iman","Bogdanović, Bogdan",203992,58,4
202697,"Shumpert, Iman","McLemore, Ben",203463,1,0
202697,"Shumpert, Iman","Bjelica, Nemanja",202357,89,9
202697,"Shumpert, Iman","Koufos, Kosta",201585,14,1
1629185,"Chiozza, Chris","Clark, Gary",1629109,17,0
1629185,"Chiozza, Chris","Hartenstein, Isaiah",1628392,1,0
1629185,"Chiozza, Chris","House Jr., Danuel",1627863,2,0
1629185,"Chiozza, Chris","Rivers, Austin",203085,10,2
1629185,"Chiozza, Chris","Faried, Kenneth",202702,17,1
1629185,"Chiozza, Chris","Green, Gerald",101123,3,1
101108,"Paul, Chris","Clark, Gary",1629109,80,10
101108,"Paul, Chris","Hartenstein, Isaiah",1628392,29,6
101108,"Paul, Chris","House Jr., Danuel",1627863,86,22
101108,"Paul, Chris","Chriss, Marquese",1627737,9,1
101108,"Paul, Chris","Capela, Clint",203991,398,80
101108,"Paul, Chris","Ennis III, James",203516,99,24
101108,"Paul, Chris","Carter-Williams, Michael",203487,12,2
101108,"Paul, Chris","Rivers, Austin",203085,123,15
101108,"Paul, Chris","Faried, Kenneth",202702,104,30
101108,"Paul, Chris","Shumpert, Iman",202697,61,9
101108,"Paul, Chris","Knight, Brandon",202688,19,3
101108,"Paul, Chris","Harden, James",201935,726,39
101108,"Paul, Chris","Gordon, Eric",201569,522,107
101108,"Paul, Chris","Tucker, P.J.",200782,330,55
101108,"Paul, Chris","Green, Gerald",101123,215,49
101108,"Paul, Chris","Anthony, Carmelo",2546,79,15
101108,"Paul, Chris",Nene,2403,57,8
1627863,"House Jr., Danuel","Chiozza, Chris",1629185,4,0
1627863,"House Jr., Danuel","Clark, Gary",1629109,14,2
