Source,Target,Weight,Passes,Type
201142,202691,120,516,Directed
203110,202691,115,529,Directed
203110,201939,105,1282,Directed
201142,201939,103,892,Directed
203110,201142,98,842,Directed
201939,202691,89,521,Directed
201939,201142,78,686,Directed
2738,202691,48,249,Directed
201142,1626172,47,247,Directed
201939,203110,41,815,Directed
2738,201142,37,460,Directed
2738,201939,36,397,Directed
1626172,202691,33,179,Directed
2733,202691,32,216,Directed
203110,202326,31,189,Directed
201142,203110,30,446,Directed
202691,201939,27,212,Directed
202691,201142,27,379,Directed
201939,2738,26,256,Directed
203110,2738,25,275,Directed
201142,201973,25,142,Directed
1626172,201939,24,419,Directed
202326,202691,24,171,Directed
1626172,201142,24,364,Directed
202691,203110,23,321,Directed
201973,201142,22,307,Directed
1626188,201142,22,321,Directed
201939,201973,22,146,Directed
201939,1626172,22,366,Directed
201142,1626188,22,290,Directed
201939,1628035,22,107,Directed
201973,202691,21,185,Directed
201142,1628395,20,108,Directed
203110,1626172,20,91,Directed
2738,1626172,20,136,Directed
202691,202326,20,160,Directed
202326,201939,19,201,Directed
1626188,202691,19,223,Directed
201142,2738,19,254,Directed
201142,202326,18,182,Directed
1628395,1626188,17,342,Directed
202691,1626172,17,174,Directed
201142,1628035,17,59,Directed
203110,1628035,16,73,Directed
201973,201939,16,230,Directed
201939,202326,15,204,Directed
1626188,1628395,15,255,Directed
202326,203110,15,243,Directed
2733,201939,15,177,Directed
202691,2738,15,144,Directed
2738,201973,15,117,Directed
203110,201973,14,107,Directed
2733,201973,14,170,Directed
2738,1626188,14,181,Directed
1626188,201973,13,166,Directed
202326,201142,13,150,Directed
201142,1627745,13,68,Directed
2738,1628035,11,54,Directed
202691,1626188,11,114,Directed
202691,201973,11,97,Directed
1627745,202691,11,45,Directed
1626172,2738,10,183,Directed
201939,1627745,10,63,Directed
201939,2733,10,109,Directed
2733,203110,9,214,Directed
2733,202326,9,134,Directed
2738,203110,9,244,Directed
1628395,201142,9,141,Directed
