Id,Label,Assists_Donnes,Assists_Recus,Total_Assists
201142,"Durant, Kevin",449,350,799
201939,"Curry, Stephen",351,364,715
202691,"Thompson, Klay",183,526,709
203110,"Green, Draymond",449,137,586
2738,"Iguodala, Andre",216,124,340
1626172,"Looney, Kevon",124,152,276
201973,"Jerebko, Jonas",96,140,236
1626188,"Cook, Quinn",115,113,228
202326,"Cousins, DeMarcus",105,111,216
2733,"Livingston, Shaun",115,59,174
1628395,"Bell, Jordan",73,72,145
1628035,"McKinnie, Alfonzo",30,108,138
1627745,"Jones, Damian",28,46,74
1627814,"Lee, Damion",13,47,60
1628980,"Evans, Jacob",24,11,35
101106,"Bogut, Andrew",10,10,20
1629094,"Derrickson, Marcus",1,12,13
203076,"Davis, Anthony",0,0,0
202734,"Moore, E'Twaun",0,0,0
1628413,"Bolden, Jonah",0,0,0
