Source,Target,Weight,Passes,Type
1628979,1628425,0,2,Directed
1628979,1628391,0,7,Directed
1628979,1626192,1,1,Directed
1628979,1626174,0,3,Directed
1628979,101141,1,1,Directed
202697,1629185,0,3,Directed
202697,1628392,0,2,Directed
202697,1627863,1,17,Directed
202697,203991,2,16,Directed
202697,203093,0,2,Directed
202697,203085,4,30,Directed
202697,202702,4,16,Directed
202697,201935,1,75,Directed
202697,201569,3,13,Directed
202697,200782,3,25,Directed
202697,101123,2,14,Directed
202697,101108,1,61,Directed
202697,2403,0,13,Directed
202697,1628963,5,42,Directed
202697,1628412,0,21,Directed
202697,1628385,0,25,Directed
202697,1628382,2,24,Directed
202697,1628368,14,348,Directed
202697,1627812,1,20,Directed
202697,1627786,1,2,Directed
202697,1627746,0,1,Directed
202697,1627741,30,174,Directed
202697,1626161,22,180,Directed
202697,203992,4,58,Directed
202697,203463,0,1,Directed
202697,202357,9,89,Directed
202697,201585,1,14,Directed
1629185,1629109,0,17,Directed
1629185,1628392,0,1,Directed
1629185,1627863,0,2,Directed
1629185,203085,2,10,Directed
1629185,202702,1,17,Directed
1629185,101123,1,3,Directed
101108,1629109,10,80,Directed
101108,1628392,6,29,Directed
101108,1627863,22,86,Directed
101108,1627737,1,9,Directed
101108,203991,80,398,Directed
101108,203516,24,99,Directed
101108,203487,2,12,Directed
101108,203085,15,123,Directed
101108,202702,30,104,Directed
101108,202697,9,61,Directed
101108,202688,3,19,Directed
101108,201935,39,726,Directed
101108,201569,107,522,Directed
101108,200782,55,330,Directed
101108,101123,49,215,Directed
101108,2546,15,79,Directed
101108,2403,8,57,Directed
1627863,1629185,0,4,Directed
1627863,1629109,2,14,Directed
1627863,1628392,0,3,Directed
1627863,1627737,1,7,Directed
1627863,203991,10,43,Directed
1627863,203516,0,3,Directed
1627863,203487,0,10,Directed
1627863,203085,4,60,Directed
1627863,202702,1,3,Directed
1627863,202697,3,18,Directed
1627863,202688,0,22,Directed
1627863,201935,2,254,Directed
1627863,201569,3,40,Directed
1627863,200782,4,28,Directed
1627863,101123,7,23,Directed
1627863,101108,0,128,Directed
1627863,2403,3,13,Directed
1629109,1629185,0,10,Directed
1629109,1628392,0,12,Directed
