Source,Target,Weight
DeMarcus Cousins,"Evans, Jacob",1
DeMarcus Cousins,"Bell, Jordan",3
DeMarcus Cousins,"McKinnie, Alfonzo",3
DeMarcus Cousins,"Lee, Damion",2
DeMarcus Cousins,"Cook, Quinn",8
DeMarcus Cousins,"Looney, Kevon",0
DeMarcus Cousins,"Green, Draymond",15
DeMarcus Cousins,"Thompson, Klay",24
DeMarcus Cousins,"Jerebko, Jonas",4
DeMarcus Cousins,"Curry, Stephen",19
DeMarcus Cousins,"Durant, Kevin",13
DeMarcus Cousins,"Iguodala, Andre",4
DeMarcus Cousins,"Livingston, Shaun",9
Damion Lee,"Derrickson, Marcus",1
Damion Lee,"Evans, Jacob",1
Damion Lee,"Bell, Jordan",3
Damion Lee,"McKinnie, Alfonzo",1
Damion Lee,"Jones, Damian",0
Damion Lee,"Cook, Quinn",1
Damion Lee,"Looney, Kevon",0
Damion Lee,"Green, Draymond",0
Damion Lee,"Thompson, Klay",0
Damion Lee,"Cousins, DeMarcus",0
Damion Lee,"Jerebko, Jonas",4
Damion Lee,"Curry, Stephen",1
Damion Lee,"Durant, Kevin",1
Damion Lee,"Bogut, Andrew",0
Damion Lee,"Iguodala, Andre",0
Damion Lee,"Livingston, Shaun",0
Jordan Bell,"Derrickson, Marcus",1
Jordan Bell,"Evans, Jacob",4
Jordan Bell,"McKinnie, Alfonzo",6
Jordan Bell,"Lee, Damion",7
Jordan Bell,"Jones, Damian",2
Jordan Bell,"Cook, Quinn",17
Jordan Bell,"Looney, Kevon",2
Jordan Bell,"Green, Draymond",2
Jordan Bell,"Thompson, Klay",7
Jordan Bell,"Cousins, DeMarcus",1
Jordan Bell,"Jerebko, Jonas",4
Jordan Bell,"Curry, Stephen",6
Jordan Bell,"Durant, Kevin",9
Jordan Bell,"Bogut, Andrew",0
Jordan Bell,"Iguodala, Andre",3
Jordan Bell,"Livingston, Shaun",2
Quinn Cook,"Derrickson, Marcus",4
Quinn Cook,"Evans, Jacob",2
Quinn Cook,"Bell, Jordan",15
Quinn Cook,"McKinnie, Alfonzo",5
Quinn Cook,"Lee, Damion",5
Quinn Cook,"Jones, Damian",7
Quinn Cook,"Looney, Kevon",6
Quinn Cook,"Green, Draymond",1
Quinn Cook,"Thompson, Klay",19
Quinn Cook,"Cousins, DeMarcus",4
Quinn Cook,"Jerebko, Jonas",13
Quinn Cook,"Curry, Stephen",0
Quinn Cook,"Durant, Kevin",22
Quinn Cook,"Bogut, Andrew",1
Quinn Cook,"Iguodala, Andre",7
Quinn Cook,"Livingston, Shaun",4
Kevon Looney,"Derrickson, Marcus",1
Kevon Looney,"Evans, Jacob",1
Kevon Looney,"Bell, Jordan",1
Kevon Looney,"McKinnie, Alfonzo",5
Kevon Looney,"Lee, Damion",6
Kevon Looney,"Jones, Damian",0
Kevon Looney,"Cook, Quinn",4
Kevon Looney,"Green, Draymond",2
Kevon Looney,"Moore, E'Twaun",0
Kevon Looney,"Thompson, Klay",33
Kevon Looney,"Cousins, DeMarcus",0
Kevon Looney,"Jerebko, Jonas",8
Kevon Looney,"Curry, Stephen",24
Kevon Looney,"Durant, Kevin",24
Kevon Looney,"Iguodala, Andre",10
Kevon Looney,"Livingston, Shaun",5
Andre Iguodala,"Evans, Jacob",1
Andre Iguodala,"Bell, Jordan",5
Andre Iguodala,"McKinnie, Alfonzo",11
Andre Iguodala,"Lee, Damion",4
Andre Iguodala,"Jones, Damian",1
Andre Iguodala,"Cook, Quinn",14
Andre Iguodala,"Looney, Kevon",20
Andre Iguodala,"Green, Draymond",9
Andre Iguodala,"Thompson, Klay",48
Andre Iguodala,"Cousins, DeMarcus",8
Andre Iguodala,"Jerebko, Jonas",15
Andre Iguodala,"Curry, Stephen",36
Andre Iguodala,"Durant, Kevin",37
Andre Iguodala,"Bogut, Andrew",0
Andre Iguodala,"Livingston, Shaun",7
Jacob Evans,"Derrickson, Marcus",2
Jacob Evans,"Bell, Jordan",3
Jacob Evans,"McKinnie, Alfonzo",2
Jacob Evans,"Lee, Damion",1
Jacob Evans,"Jones, Damian",0
Jacob Evans,"Cook, Quinn",7
Jacob Evans,"Looney, Kevon",5
Jacob Evans,"Green, Draymond",0
Jacob Evans,"Thompson, Klay",0
Jacob Evans,"Cousins, DeMarcus",1
Jacob Evans,"Jerebko, Jonas",3
Jacob Evans,"Curry, Stephen",0
Jacob Evans,"Durant, Kevin",0
Jacob Evans,"Bogut, Andrew",0
Jacob Evans,"Iguodala, Andre",0
Jacob Evans,"Livingston, Shaun",0
Klay Thompson,"Derrickson, Marcus",0
Klay Thompson,"Bell, Jordan",5
Klay Thompson,"McKinnie, Alfonzo",7
Klay Thompson,"Lee, Damion",4
Klay Thompson,"Jones, Damian",6
Klay Thompson,"Cook, Quinn",11
Klay Thompson,"Looney, Kevon",17
Klay Thompson,"Green, Draymond",23
Klay Thompson,"Davis, Anthony",0
Klay Thompson,"Cousins, DeMarcus",20
Klay Thompson,"Jerebko, Jonas",11
Klay Thompson,"Curry, Stephen",27
Klay Thompson,"Durant, Kevin",27
Klay Thompson,"Bogut, Andrew",2
Klay Thompson,"Iguodala, Andre",15
Klay Thompson,"Livingston, Shaun",8
Andrew Bogut,"Evans, Jacob",0
Andrew Bogut,"Bell, Jordan",0
Andrew Bogut,"McKinnie, Alfonzo",1
Andrew Bogut,"Lee, Damion",0
Andrew Bogut,"Cook, Quinn",0
Andrew Bogut,"Green, Draymond",2
Andrew Bogut,"Thompson, Klay",2
Andrew Bogut,"Jerebko, Jonas",0
Andrew Bogut,"Curry, Stephen",3
Andrew Bogut,"Durant, Kevin",2
Andrew Bogut,"Iguodala, Andre",0
Andrew Bogut,"Livingston, Shaun",0
Damian Jones,"Derrickson, Marcus",0
Damian Jones,"Bell, Jordan",0
Damian Jones,"McKinnie, Alfonzo",0
Damian Jones,"Lee, Damion",0
Damian Jones,"Cook, Quinn",4
Damian Jones,"Looney, Kevon",0
Damian Jones,"Green, Draymond",0
Damian Jones,"Thompson, Klay",11
Damian Jones,"Jerebko, Jonas",0
Damian Jones,"Curry, Stephen",5
Damian Jones,"Durant, Kevin",7
Damian Jones,"Iguodala, Andre",1
Damian Jones,"Livingston, Shaun",0
Jonas Jerebko,"Derrickson, Marcus",1
Jonas Jerebko,"Evans, Jacob",1
Jonas Jerebko,"Bell, Jordan",5
Jonas Jerebko,"McKinnie, Alfonzo",8
Jonas Jerebko,"Lee, Damion",3
Jonas Jerebko,"Jones, Damian",0
Jonas Jerebko,"Cook, Quinn",8
Jonas Jerebko,"Looney, Kevon",2
Jonas Jerebko,"Green, Draymond",2
Jonas Jerebko,"Thompson, Klay",21
Jonas Jerebko,"Cousins, DeMarcus",0
Jonas Jerebko,"Curry, Stephen",16
Jonas Jerebko,"Durant, Kevin",22
Jonas Jerebko,"Bogut, Andrew",0
Jonas Jerebko,"Iguodala, Andre",7
Jonas Jerebko,"Livingston, Shaun",0
Draymond Green,"Evans, Jacob",0
Draymond Green,"Bell, Jordan",3
Draymond Green,"McKinnie, Alfonzo",16
Draymond Green,"Lee, Damion",3
Draymond Green,"Jones, Damian",6
Draymond Green,"Cook, Quinn",6
Draymond Green,"Looney, Kevon",20
Draymond Green,"Thompson, Klay",115
Draymond Green,"Cousins, DeMarcus",31
Draymond Green,"Jerebko, Jonas",14
Draymond Green,"Curry, Stephen",105
Draymond Green,"Durant, Kevin",98
Draymond Green,"Bogut, Andrew",0
Draymond Green,"Iguodala, Andre",25
Draymond Green,"Livingston, Shaun",7
Alfonzo McKinnie,"Derrickson, Marcus",1
Alfonzo McKinnie,"Evans, Jacob",0
Alfonzo McKinnie,"Bell, Jordan",0
Alfonzo McKinnie,"Lee, Damion",0
Alfonzo McKinnie,"Jones, Damian",1
Alfonzo McKinnie,"Cook, Quinn",5
Alfonzo McKinnie,"Looney, Kevon",3
Alfonzo McKinnie,"Green, Draymond",1
Alfonzo McKinnie,"Thompson, Klay",5
Alfonzo McKinnie,"Cousins, DeMarcus",4
Alfonzo McKinnie,"Jerebko, Jonas",2
Alfonzo McKinnie,"Curry, Stephen",4
Alfonzo McKinnie,"Durant, Kevin",4
Alfonzo McKinnie,"Bogut, Andrew",0
Alfonzo McKinnie,"Iguodala, Andre",0
Alfonzo McKinnie,"Livingston, Shaun",0
Stephen Curry,"Derrickson, Marcus",0
Stephen Curry,"Bolden, Jonah",0
Stephen Curry,"Bell, Jordan",8
Stephen Curry,"McKinnie, Alfonzo",22
Stephen Curry,"Lee, Damion",2
Stephen Curry,"Jones, Damian",10
Stephen Curry,"Cook, Quinn",2
Stephen Curry,"Looney, Kevon",22
Stephen Curry,"Green, Draymond",41
Stephen Curry,"Thompson, Klay",89
Stephen Curry,"Cousins, DeMarcus",15
Stephen Curry,"Jerebko, Jonas",22
